Id,Address_State,Application_Type,Emp_Length,Emp_Title,Grade,Home_Ownership,Issue_Date,Last_Credit_Pull_Date,Last_Payment_Date,Loan_Status,Next_Payment_Date,Member_Id,Purpose,Sub_Grade,Term,Verification_Status,Annual_Income,Dti,Installment,Int_Rate,Loan_Amount,Total_Acc,Total_Payment
548151,New Jersey,INDIVIDUAL,10+ years,Aberdeen Twsp,A,MORTGAGE,7/10/2021,5/16/2021,8/13/2021,Fully Paid,9/13/2021,706758,Car,A2, 36 months,Not Verified,108000,0.1976,107.69,0.0676,3500,37,3877
542312,Florida,INDIVIDUAL,10+ years,Micros Systems Inc.,A,MORTGAGE,7/10/2021,5/16/2021,7/13/2021,Fully Paid,8/13/2021,699868,Car,A2, 36 months,Not Verified,57431,0.0618,123.07,0.0676,4000,21,4431
1008323,Arkansas,INDIVIDUAL,10+ years,Arkansas Department Of Correction,A,MORTGAGE,11/11/2021,12/15/2021,12/14/2021,Fully Paid,1/14/2022,1234988,Car,A3, 36 months,Not Verified,32468.8,0.2935,186.67,0.0751,6000,16,6714
457893,Arkansas,INDIVIDUAL,10+ years,Kroger,A,MORTGAGE,11/9/2021,11/12/2021,11/12/2021,Fully Paid,12/12/2021,569597,Car,A3, 36 months,Not Verified,26000,0.0429,218.54,0.0774,7000,11,7867
451579,Ohio,INDIVIDUAL,10+ years,Alliance Data Systems,A,MORTGAGE,10/9/2021,6/14/2021,3/12/2021,Fully Paid,4/12/2021,556476,Car,A3, 36 months,Not Verified,75000,0.0234,156.1,0.0774,5000,21,5584
1027822,Kentucky,INDIVIDUAL,10+ years,City Of Madisonville,A,MORTGAGE,11/11/2021,5/16/2021,8/14/2021,Fully Paid,9/14/2021,1257204,Car,A3, 36 months,Not Verified,58000,0.2692,56,0.0751,1800,28,2013
700052,North Carolina,INDIVIDUAL,10+ years,Rccg - Victory Temple,A,MORTGAGE,4/11/2021,11/15/2021,4/14/2021,Fully Paid,5/14/2021,891691,Car,A3, 36 months,Not Verified,50000,0.203,308.41,0.0692,10000,32,11103
661459,Ohio,INDIVIDUAL,10+ years,Atkins And Pearce,A,MORTGAGE,2/11/2021,2/14/2021,2/14/2021,Fully Paid,3/14/2021,845936,Car,A4, 36 months,Not Verified,48000,0.1988,201.57,0.0729,6500,24,7257
768140,California,INDIVIDUAL,10+ years,Orchard Supply Hardware,A,MORTGAGE,5/11/2021,12/12/2021,12/12/2021,Fully Paid,1/12/2022,969361,Car,A4, 36 months,Not Verified,73000,0.1433,155.51,0.0749,5000,23,5312
823069,Connecticut,INDIVIDUAL,10+ years,Custom Phone Inc,A,MORTGAGE,7/11/2021,11/12/2021,11/12/2021,Fully Paid,12/12/2021,1031607,Car,A4, 36 months,Not Verified,68000,0.0286,248.82,0.0749,8000,13,8615
761499,Georgia,INDIVIDUAL,10+ years,Greif Llc,A,MORTGAGE,5/11/2021,8/14/2021,6/14/2021,Fully Paid,7/14/2021,961964,Car,A4, 36 months,Not Verified,112992,0.1825,248.82,0.0749,8000,25,8957
390651,Virginia,INDIVIDUAL,10+ years,Girard Engineering,A,MORTGAGE,4/9/2021,7/15/2021,4/12/2021,Fully Paid,5/12/2021,425903,Car,A4, 36 months,Not Verified,135000,0.0518,255.58,0.0932,8000,14,9201
483645,Georgia,INDIVIDUAL,10+ years,At&T,A,MORTGAGE,2/10/2021,2/13/2021,2/13/2021,Fully Paid,3/13/2021,615502,Car,A4, 36 months,Not Verified,75181,0.1831,186.66,0.0751,6000,30,6720
866551,Illinois,INDIVIDUAL,10+ years,City Of Chicago,A,MORTGAGE,9/11/2021,9/14/2021,9/14/2021,Fully Paid,10/14/2021,1079988,Car,A4, 36 months,Not Verified,110400,0.1916,93.31,0.0749,3000,41,3359
394295,California,INDIVIDUAL,10+ years,Downey Welding,A,MORTGAGE,4/9/2021,5/12/2021,5/12/2021,Fully Paid,6/12/2021,432897,Car,A5, 36 months,Not Verified,48000,0.1257,481.42,0.0963,15000,31,17331
472637,Texas,INDIVIDUAL,2 years,Accenture,A,MORTGAGE,12/9/2021,12/11/2021,12/11/2021,Fully Paid,1/11/2022,596861,Car,A1, 36 months,Not Verified,54000,0.0267,268.83,0.0705,8700,15,9538
732697,Colorado,INDIVIDUAL,2 years,Corvirtus,A,MORTGAGE,4/11/2021,10/15/2021,5/14/2021,Fully Paid,6/14/2021,928926,Car,A1, 36 months,Not Verified,85000,0.04,168.9,0.0542,5600,36,6080
628369,Texas,INDIVIDUAL,2 years,Cricket Communications,A,MORTGAGE,12/10/2021,12/13/2021,12/13/2021,Fully Paid,1/13/2022,805177,Car,A3, 36 months,Not Verified,36000,0.1997,54.9,0.0617,1800,21,1977
842807,New York,INDIVIDUAL,2 years,Walmart Distribution,A,MORTGAGE,8/11/2021,5/16/2021,8/14/2021,Fully Paid,9/14/2021,1053506,Car,A4, 36 months,Not Verified,36000,0.1883,217.72,0.0749,7000,13,7838
564180,California,INDIVIDUAL,3 years,California Department Of Justice,A,MORTGAGE,8/10/2021,8/13/2021,9/13/2021,Fully Paid,10/13/2021,725950,Car,A1, 36 months,Not Verified,120000,0.052,140.76,0.0639,4600,42,5068
464609,Arizona,INDIVIDUAL,3 years,Mesa Fire Department,A,MORTGAGE,12/9/2021,5/16/2021,3/10/2021,Fully Paid,4/10/2021,582432,Car,A2, 36 months,Not Verified,60000,0.1004,62.12,0.074,2000,14,2036
1050642,Ohio,INDIVIDUAL,3 years,Ares Inc.,A,MORTGAGE,12/11/2021,6/14/2021,6/14/2021,Fully Paid,7/14/2021,1281883,Car,A2, 36 months,Not Verified,62352,0.1207,116.68,0.0662,3800,24,4187
710680,Pennsylvania,INDIVIDUAL,3 years,Lonza Inc,A,MORTGAGE,3/11/2021,4/14/2021,4/14/2021,Fully Paid,5/14/2021,903454,Car,A2, 36 months,Not Verified,54000,0.1129,151.64,0.0579,5000,20,5459
